"tesi","Length","type","shoot","Tree","rank_node","c","v","m","cl","nu","b","tot_buds","new_shoots","n_lateral_buds","n_apical_buds","which_apicals"
"AUTOR",35,"Lo",29,8,6,1,0,1,1,2,0,2,1,2,0,NA
"AUTOR",35,"Lo",29,8,7,1,3,0,0,0,0,4,2,4,0,NA
"AUTOR",35,"Lo",29,8,8,1,1,1,0,0,0,3,2,3,0,NA
"AUTOR",35,"Lo",29,8,9,1,2,1,1,3,0,4,2,4,0,NA
"AUTOR",35,"Lo",29,8,10,1,1,0,0,0,0,2,1,2,0,NA
"AUTOR",35,"Lo",29,8,11,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",35,"Lo",29,8,12,1,2,0,0,0,0,4,0,3,1,"V"
"AUTOR",49.6,"VLo",30,8,1,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",49.6,"VLo",30,8,2,0,0,0,0,0,1,1,0,1,0,NA
"AUTOR",49.6,"VLo",30,8,3,0,0,1,1,1,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,4,1,0,0,0,0,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,5,1,2,3,1,1,0,6,2,6,0,NA
"AUTOR",49.6,"VLo",30,8,6,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,7,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,8,0,0,1,1,1,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,9,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,10,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,11,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,12,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,13,0,0,1,1,5,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,14,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,15,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,16,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",49.6,"VLo",30,8,17,0,1,0,0,0,0,2,0,1,1,"V"
