note,#ID,date,tesi,Fila,pianta,shoot,length (cm),diametro (mm),type,#nodes,internodo(cm),Amenti,Legno,Miste,cluster,nuts,Cieche,#osserv,oss/node,nut set,%M,%L,%A,%C,,,,,,
,111,2020,inne,3,4,111,38,6.37,Lo,14,2.71,7,10,6,4,11,1,24,1.71,183%,25%,42%,29%,4%,,,,,,
,112,2020,inne,3,4,112,37,6.13,Lo,15,2.47,19,12,8,1,3,0,39,2.60,38%,21%,31%,49%,0%,,,,,,
,113,2020,inne,3,4,113,31,5.25,Lo,10,3.10,9,10,2,1,4,1,22,2.20,200%,9%,45%,41%,5%,,,,,,
,114,2020,inne,3,5,114,34.2,5.66,Lo,13,2.63,10,12,3,0,0,3,28,2.15,0%,11%,43%,36%,11%,,,,,,
,115,2020,inne,3,5,115,69,9.42,VLo,24,2.88,0,22,4,2,4,2,28,1.17,100%,14%,79%,0%,7%,,,,,,
,116,2020,inne,3,5,116,40.5,4.9,VLo,13,3.12,3,7,10,6,17,1,21,1.62,170%,48%,33%,14%,5%,,,,,,
,117,2020,inne,3,5,117,46,4.96,VLo,17,2.71,13,14,8,0,0,1,36,2.12,0%,22%,39%,36%,3%,,,,,,
,118,2020,inne,3,5,118,3.5,2.54,Sh,4,0.88,2,0,2,0,0,0,4,1.00,0%,50%,0%,50%,0%,,,,,,
,119,2020,inne,3,5,119,62,7.27,VLo,17,3.65,17,18,8,2,6,1,44,2.59,75%,18%,41%,39%,2%,,,,,,
,120,2020,inne,3,5,120,3.5,2.28,Sh,3,1.17,1,1,0,0,0,1,3,1.00,,0%,33%,33%,33%,26%,35%,29%,10%,21.37,1.97
,121,2020,auto,3,8,1,42,6.37,VLo,13,3.23,16,7,11,3,9,1,35,2.69,82%,31%,20%,46%,3%,,,,,,
,122,2020,auto,3,8,2,40,6.22,Lo,14,2.86,14,13,10,6,20,0,37,2.64,200%,27%,35%,38%,0%,,,,,,
,123,2020,auto,3,8,3,9,3.7,Me,6,1.50,0,5,3,2,6,0,8,1.33,200%,38%,63%,0%,0%,,,,,,
,124,2020,auto,3,8,4,48,7.43,VLo,17,2.82,0,17,2,2,10,0,19,1.12,500%,11%,89%,0%,0%,,,,,,
,125,2020,auto,3,8,5,41,7.17,VLo,16,2.56,21,16,12,7,19,0,49,3.06,158%,24%,33%,43%,0%,,,,,,
,126,2020,auto,3,8,6,14,4.34,Me,6,2.33,11,4,4,2,5,1,20,3.33,125%,20%,20%,55%,5%,,,,,,
,127,2020,auto,3,8,7,43,6.41,VLo,14,3.07,21,10,10,2,11,1,42,3.00,110%,24%,24%,50%,2%,,,,,,
,128,2020,auto,3,8,8,3,2.34,Sh,3,1.00,2,4,1,0,0,0,7,2.33,0%,14%,57%,29%,0%,,,,,,
,129,2020,auto,3,8,9,30,5.09,Lo,14,2.14,13,10,8,5,10,0,31,2.21,125%,26%,32%,42%,0%,,,,,,
,130,2020,auto,3,8,10,57,6.8,VLo,14,4.07,0,7,15,8,17,0,22,1.57,113%,68%,32%,0%,0%,,,,,,
,131,2020,auto,3,8,11,2.31,2,Sh,2,1.16,4,3,0,0,0,0,7,3.50,,0%,43%,57%,0%,,,,,,
,132,2020,auto,3,8,12,48,6.76,VLo,15,3.20,12,11,14,10,30,0,37,2.47,214%,38%,30%,32%,0%,,,,,,
,133,2020,auto,3,8,13,37.5,5.88,Lo,15,2.50,4,11,7,4,12,0,22,1.47,171%,32%,50%,18%,0%,,,,,,
,134,2020,auto,3,8,14,45.4,7.68,VLo,17,2.67,4,8,13,9,24,0,25,1.47,185%,52%,32%,16%,0%,,,,,,
,135,2020,auto,3,8,15,44,6.91,VLo,16,2.75,9,11,14,9,27,0,34,2.13,193%,41%,32%,26%,0%,,,,,,
,136,2020,auto,3,8,16,33,6.4,Lo,14,2.36,28,13,7,2,5,2,50,3.57,71%,14%,26%,56%,4%,,,,,,
,137,2020,auto,3,8,17,21,4.23,Lo,8,2.63,3,4,7,4,10,0,14,1.75,143%,50%,29%,21%,0%,,,,,,
,138,2020,auto,3,8,18,8.5,3.69,Me,5,1.70,7,4,5,4,7,0,16,3.20,140%,31%,25%,44%,0%,,,,,,
,139,2020,auto,3,8,19,38,6.22,Lo,15,2.53,11,10,12,9,24,2,35,2.33,200%,34%,29%,31%,6%,,,,,,
,140,2020,auto,3,8,20,38,5.8,Lo,14,2.71,0,4,10,8,18,2,16,1.14,180%,63%,25%,0%,13%,,,,,,
,141,2020,auto,3,8,21,11.8,3.7,Me,6,1.97,7,5,2,2,4,2,16,2.67,200%,13%,31%,44%,13%,,,,,,
,142,2020,auto,3,8,22,2.5,2.1,Sh,3,0.83,2,1,0,0,0,0,3,1.00,,0%,33%,67%,0%,,,,,,
,143,2020,auto,3,8,23,39,5.6,Lo,14,2.79,4,10,9,8,21,0,23,1.64,233%,39%,43%,17%,0%,,,,,,
,144,2020,auto,3,8,24,1.5,2,Sh,3,0.50,0,2,1,1,3,0,3,1.00,300%,33%,67%,0%,0%,,,,,,
,145,2020,auto,3,8,25,41.5,5.46,VLo,14,2.96,3,6,12,6,14,0,21,1.50,117%,57%,29%,14%,0%,,,,,,
,146,2020,auto,3,8,26,4,2.38,Sh,5,0.80,2,4,5,3,7,0,11,2.20,140%,45%,36%,18%,0%,,,,,,
,147,2020,auto,3,8,27,29.8,5.62,Lo,10,2.98,15,7,9,6,10,0,31,3.10,111%,29%,23%,48%,0%,,,,,,
,148,2020,auto,3,8,28,4.2,3.22,Sh,4,1.05,0,3,0,0,0,1,4,1.00,,0%,75%,0%,25%,,,,,,
,149,2020,auto,3,8,29,35,5,Lo,12,2.92,29,13,9,5,11,0,51,4.25,122%,18%,25%,57%,0%,,,,,,
,150,2020,auto,3,8,30,49.6,6.64,VLo,16,3.10,11,9,11,9,23,1,32,2.00,209%,34%,28%,34%,3%,,,,,,
,151,2020,auto,3,8,31,3,2.63,Sh,3,1.00,4,3,0,0,0,1,8,2.67,,0%,38%,50%,13%,,,,,,
,152,2020,auto,3,8,32,15.6,3.28,Me,7,2.23,10,4,6,2,5,0,20,2.86,83%,30%,20%,50%,0%,,,,,,
,153,2020,auto,3,8,33,4,2.84,Sh,3,1.33,0,1,2,1,2,0,3,1.00,100%,67%,33%,0%,0%,,,,,,
,154,2020,auto,3,8,34,12.2,4.1,Me,6,1.74,6,2,10,2,7,0,18,3.00,70%,56%,11%,33%,0%,,,,,,
,155,2020,auto,3,8,35,2,2.42,Sh,2,1.00,0,1,1,1,1,0,2,1.00,100%,50%,50%,0%,0%,,,,,,
,156,2020,auto,3,8,36,27.6,4.84,Lo,9,3.07,6,3,11,9,24,0,20,2.22,218%,55%,15%,30%,0%,,,,,,
,157,2020,auto,3,8,37,18.2,4.12,Me,7,2.60,0,3,5,4,10,0,8,1.14,200%,63%,38%,0%,0%,,,,,,
