"tesi","Length","Diam","class","shoot","Tree","Length.node.","rank_node","normal_distance","median_distance","distance_abs","c","v","m","cl","nu","b","tot_buds","fate","new_shoots","from_","length2yo.cm.","length.newshoots","X.nodes2yo","c.1","v.1","m.1","cic.1","cl.1","B.1"
"AUTOR",43,6.41,"VLo",7,8,14,3,0.32,-4.5,4.5,0,1,0,0,0,0,2,"V",1,"PROL",1,"Sh",3,0,1,0,0,0,2
"AUTOR",43,6.41,"VLo",7,8,14,3,0.32,-4.5,4.5,0,1,0,0,0,0,2,"V",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",43,6.41,"VLo",7,8,14,4,0.25,-3.5,3.5,0,0,0,0,0,0,1,"C",1,"SYL",2,"Sh",2,2,4,0,0,0,0
"AUTOR",43,6.41,"VLo",7,8,14,5,0.18,-2.5,2.5,1,0,2,1,5,0,4,"M",1,"SYL",2,"Sh",3,0,2,0,1,0,1
"AUTOR",43,6.41,"VLo",7,8,14,5,0.18,-2.5,2.5,1,0,2,0,0,0,4,"M",1,"SYL",2.5,"Sh",3,0,0,0,1,0,2
"AUTOR",43,6.41,"VLo",7,8,14,5,0.18,-2.5,2.5,0,0,3,0,0,0,4,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",43,6.41,"VLo",7,8,14,5,0.18,-2.5,2.5,1,0,2,0,0,0,4,"M",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",43,6.41,"VLo",7,8,14,6,0.11,-1.5,1.5,0,0,1,0,0,0,2,"V",1,"PROL",5,"Sh",7,5,5,1,0,0,3
"AUTOR",43,6.41,"VLo",7,8,14,6,0.11,-1.5,1.5,0,1,0,1,6,0,2,"M",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",43,6.41,"VLo",7,8,14,7,0.04,-0.5,0.5,1,1,0,0,0,0,3,"V",1,"SYL",5,"Sh",6,5,6,2,1,0,0
