tesi,unit,parent_length_cm,unit_2,diam,class,shoot_ID,tree,parent_length_node,parent_rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,25,mm,4.52,Lo,49,9,12,11,4.5,0.4,0.38,4.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,19,mm,3.8,Me,50,9,8,5,0.5,0.1,0.06,0.5,1,0,0,1,3,0,0,0,SYLLEPTIC,1,1,0,2,2
AUTOR,cm,19,mm,3.8,Me,50,9,8,7,2.5,0.3,0.31,2.5,1,0,0,1,2,0,0,0,SYLLEPTIC,1,1,0,1,1
AUTOR,cm,4.5,mm,2.6,Sh,51,9,4,3,0.5,0.1,0.12,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,54,mm,5.64,VLo,53,9,15,6,-2,-0.1,0.13,2,1,0,0,1,1,0,0,0,SYLLEPTIC,2,1,0,1,1
AUTOR,cm,8.5,mm,3.52,Me,54,9,7,5,1,0.1,0.14,1,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,2,2,4
AUTOR,cm,8.5,mm,3.52,Me,54,9,7,6,2,0.3,0.29,2,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,3,3
AUTOR,cm,10.2,mm,3.26,Me,56,9,8,5,0.5,0.1,0.06,0.5,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,2,1,3
AUTOR,cm,10.2,mm,3.26,Me,56,9,8,6,1.5,0.2,0.19,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,2,2
AUTOR,cm,12,mm,4.1,Me,57,9,7,5,1,0.1,0.14,1,1,0,0,1,2,0,0,0,SYLLEPTIC,2,1,2,3,5
AUTOR,cm,12,mm,4.1,Me,57,9,7,6,2,0.3,0.29,2,1,0,0,1,4,0,0,0,SYLLEPTIC,1,1,0,1,1
AUTOR,cm,2,mm,2.32,Sh,58,9,3,2,0,0,0,0,1,0,0,1,1,0,0,0,SYLLEPTIC,1,1,0,1,1
AUTOR,cm,54,mm,5.4,VLo,59,9,22,6,-5.5,-0.2,0.25,5.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,0,2,2
AUTOR,cm,54,mm,5.4,VLo,59,9,22,20,8.5,0.4,0.39,8.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,0,2
AUTOR,cm,3,mm,2.64,Sh,60,9,4,3,0.5,0.1,0.12,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,1,0,1
AUTOR,cm,9,mm,2.66,Me,62,9,8,5,0.5,0.1,0.06,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,4.8,mm,2.78,Sh,63,9,4,1,-1.5,-0.4,0.38,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,4.8,mm,2.78,Sh,63,9,4,3,0.5,0.1,0.12,0.5,1,0,0,2,3,0,0,0,SYLLEPTIC,1,1,0,2,2
AUTOR,cm,28,mm,4.44,Lo,64,9,16,5,-3.5,-0.2,0.22,3.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,3,0,3
AUTOR,cm,28,mm,4.44,Lo,64,9,16,6,-2.5,-0.2,0.16,2.5,1,0,0,1,1,0,0,0,SYLLEPTIC,2,1,0,3,3
AUTOR,cm,28,mm,4.44,Lo,64,9,16,7,-1.5,-0.1,0.09,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,28,mm,4.44,Lo,64,9,16,8,-0.5,0,0.03,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,28,mm,4.44,Lo,64,9,16,15,6.5,0.4,0.41,6.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,10,mm,3.52,Me,65,9,7,5,1,0.1,0.14,1,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,0,3,3
AUTOR,cm,10,mm,3.52,Me,65,9,7,6,2,0.3,0.29,2,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,4,4
AUTOR,cm,58,mm,6.72,VLo,66,9,19,7,-3,-0.2,0.16,3,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,2,4
AUTOR,cm,26.5,mm,4.42,Lo,67,9,12,4,-2.5,-0.2,0.21,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,26.5,mm,4.42,Lo,67,9,12,5,-1.5,-0.1,0.12,1.5,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,1,2,3
AUTOR,cm,26.5,mm,4.42,Lo,67,9,12,11,4.5,0.4,0.38,4.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,26.5,mm,5.04,Lo,68,9,13,5,-2,-0.2,0.15,2,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,1,3
AUTOR,cm,26.5,mm,5.04,Lo,68,9,13,6,-1,-0.1,0.08,1,1,0,0,2,6,0,0,0,SYLLEPTIC,1,1,0,3,3
AUTOR,cm,26.5,mm,5.04,Lo,68,9,13,11,4,0.3,0.31,4,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,6.5,mm,2.84,Me,69,9,5,3,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,2,3
AUTOR,cm,6.5,mm,2.84,Me,69,9,5,4,1,0.2,0.2,1,1,0,0,1,1,0,0,0,SYLLEPTIC,0,1,0,1,1
AUTOR,cm,42,mm,6.43,VLo,70,10,16,6,-2.5,-0.2,0.16,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,4,0,4
AUTOR,cm,42,mm,6.43,VLo,70,10,16,7,-1.5,-0.1,0.09,1.5,1,0,0,1,3,0,0,0,SYLLEPTIC,1,1,3,1,4
AUTOR,cm,42,mm,6.43,VLo,70,10,16,8,-0.5,0,0.03,0.5,1,0,0,1,2,0,0,0,SYLLEPTIC,2,1,2,2,4
AUTOR,cm,42,mm,6.43,VLo,70,10,16,11,2.5,0.2,0.16,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,0,2
AUTOR,cm,5,mm,3.6,Sh,71,10,6,3,-0.5,-0.1,0.08,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
